Loci	Replicate	Processors	Hours	Minutes	Seconds	Iterations/Minute	Time
300	2	3	6	10	58	26.95659987	6.182777778
300	2	4	4	42	29	35.4003186	4.708055556
300	2	5	3	54	59	42.55620966	3.916388889
300	2	6	3	21	37	49.59907415	3.360277778
300	3	10	2	7	21	78.52375344	2.1225
300	3	12	1	49	43	91.14385539	1.828611111
300	3	15	1	27	5	114.8325359	1.451388889
300	3	1	23	1	16	7.239731647	23.02111111
300	3	20	1	7	12	148.8095238	1.12
300	3	2	8	58	4	18.58505761	8.967777778
300	3	3	6	8	30	27.13704206	6.141666667
300	3	4	4	43	21	35.29204164	4.7225
300	3	5	3	57	9	42.1674046	3.9525
300	3	6	3	21	39	49.59087528	3.360833333
300	4	10	2	7	13	78.60605267	2.120277778
300	4	12	1	49	46	91.10233829	1.829444444
300	4	15	1	27	7	114.7885977	1.451944444
300	4	1	23	1	5	7.240692693	23.01805556
300	4	20	1	6	54	149.4768311	1.115
300	4	2	8	57	42	18.59773108	8.961666667
300	4	3	6	8	2	27.17145186	6.133888889
300	4	4	4	42	35	35.38779121	4.709722222
300	4	5	3	57	34	42.09344745	3.959444444
300	4	6	3	21	33	49.61548003	3.359166667
300	5	10	2	7	4	78.69884575	2.117777778
300	5	12	1	47	58	92.62117938	1.799444444
300	5	15	1	26	54	115.0747986	1.448333333
300	5	1	23	1	8	7.240430564	23.01888889
300	5	20	1	7	1	149.2166128	1.116944444
300	5	2	8	57	46	18.59542553	8.962777778
300	5	3	6	7	37	27.20224872	6.126944444
300	5	4	4	45	5	35.07746273	4.751388889
300	5	5	3	54	46	42.59548488	3.912777778
300	5	6	3	21	44	49.57038995	3.362222222
